id,uniq_id,date_time,city_id,city_name,customer_id,first_name,last_name,item_id,item_name,quantity,payment_amount
1,085fad0f30336d68ca27ba3693dcd993,2024-02-25T00:00:00,2,Ярославль,7603,Константин,Васильев,9,Ручка шариковая,3,135
2,ecf45cb3c2164f56d8512645e1449840,2024-02-25T00:00:00,2,Ярославль,5218,Оксана,Морозова,3,Устройство для нагревания табака Трубка Мира,4,2000
3,9d61e707f1f0ccd329010d9d00da4284,2024-02-25T00:00:00,2,Ярославль,7618,Анна,Егорова,7,Средство для мытья посуды,1,200
4,94cccc2c651edcb1b3bf4f4f506af67b,2024-02-25T00:00:00,0,Москва,1203,Евгений,Сидоров,10,Томаты,2,100
5,b0fdaf61b00c78cef76d88be912fbdfb,2024-02-25T00:00:00,0,Москва,8606,Геннадий,Васильев,3,Устройство для нагревания табака Трубка Мира,5,2500
6,1256c0a5d6d6abee74f7c017d7c7a3e2,2024-02-25T00:00:00,2,Ярославль,2117,Ольга,Федорова,7,Средство для мытья посуды,1,200
7,7a436e7b29639af4d02339b2daefb51c,2024-02-25T00:00:00,0,Москва,7300,Константин,Смирнов,8,Лампочка LED,3,900
8,8333e3ebed3a81119b62e98e8923e542,2024-02-25T00:00:00,0,Москва,6106,Алексей,Петров,7,Средство для мытья посуды,3,600
9,47c8110aa78e68484e5647435fc012f1,2024-02-25T00:00:00,2,Ярославль,8205,Геннадий,Сидоров,9,Ручка шариковая,1,45
10,24d39f5fcf87aea3b5790b4f10254132,2024-02-25T00:00:00,2,Ярославль,7813,Анна,Козлова,7,Средство для мытья посуды,5,1000
11,eb68e04d058bf6792034887204635256,2024-02-25T00:00:00,1,Ростов,9703,Эдуард,Соколов,6,Яблоко,2,280
12,4e141381505f43d08e4a2869fb4cbd29,2024-02-25T00:00:00,0,Москва,6000,Алексей,Иванов,3,Устройство для нагревания табака Трубка Мира,1,500
13,a1c3ce2c6d8f6eef28c08cbb4db350e3,2024-02-25T00:00:00,2,Ярославль,9400,Эдуард,Кузнецов,6,Яблоко,3,420
14,e51248e5145acdd34a0dd439a2a46866,2024-02-25T00:00:00,2,Ярославль,8619,Снежанна,Егорова,1,Молоко 3%,5,600
15,10117392f46a15ff5c94e38069564b25,2024-02-25T00:00:00,2,Ярославль,6918,Елизавета,Орлова,8,Лампочка LED,3,900
