id,uniq_id,date_time,city_id,city_name,customer_id,first_name,last_name,item_id,item_name,quantity,payment_amount
1,b5cc53d7fb0677eb08b72f6aa0d67b4b,2024-02-02T00:00:00,2,Ярославль,7702,Константин,Соколов,1,Молоко 3%,4,480
2,8d9a2b13771e79287d00158051c03b63,2024-02-02T00:00:00,2,Ярославль,2606,Петр,Васильев,10,Томаты,2,100
3,849eba97128a42c65925041db61c5b74,2024-02-02T00:00:00,1,Ростов,1101,Евгений,Петров,4,Сахар песок,4,200
4,4764a8293f744a8ba8c668b76035fc1f,2024-02-02T00:00:00,0,Москва,8307,Геннадий,Смирнов,3,Устройство для нагревания табака Трубка Мира,4,2000
5,03b5fb0421e2668c4380675aec6e625f,2024-02-02T00:00:00,0,Москва,1116,Евгения,Федорова,7,Средство для мытья посуды,3,600
6,5de1ae88ebc84d3851fba37c241f2a9b,2024-02-02T00:00:00,0,Москва,8417,Снежанна,Алексеева,3,Устройство для нагревания табака Трубка Мира,2,1000
7,71196030a319d2d03c4284993af9cf0b,2024-02-02T00:00:00,1,Ростов,5115,Оксана,Федорова,7,Средство для мытья посуды,3,600
8,b21e4d0f0c6f8ee04feb105a9e6803db,2024-02-02T00:00:00,2,Ярославль,1414,Евгения,Алексеева,7,Средство для мытья посуды,5,1000
9,450f79b8af36a2d3bd189dd603918fe3,2024-02-02T00:00:00,1,Ростов,16,Александра,Великая,5,Яблоко молодильное,2,800
10,e0f4188957cefa9dd26e36289dbc6611,2024-02-02T00:00:00,2,Ярославль,9211,Надежда,Морозова,4,Сахар песок,5,250
11,29bbe72d4ca84056cbdde5f48f7527e2,2024-02-02T00:00:00,2,Ярославль,5816,Оксана,Козлова,11,Хлеб ржаной,5,100
12,4f0677b7e262124cb67b9ee912635758,2024-02-02T00:00:00,2,Ярославль,7401,Константин,Кузнецов,4,Сахар песок,2,100
13,a3afe65f6899fa357b68d5f115d657b4,2024-02-02T00:00:00,1,Ростов,816,Александра,Козлова,8,Лампочка LED,4,1200
14,b91aa725b8942adcce2bcdd780de1ad0,2024-02-02T00:00:00,0,Москва,8400,Геннадий,Кузнецов,4,Сахар песок,5,250
15,87d4810025992a5d9f9925f693ce6449,2024-02-02T00:00:00,0,Москва,2201,Петр,Сидоров,0,Молоко 1%,1,100
16,beafa516b31017ed848d1262c6e6780e,2024-02-02T00:00:00,1,Ростов,4019,Екатерина,Великая,0,Молоко 1%,3,300
17,77f09e81729c5ddf2469ac57a2d6d16f,2024-02-02T00:00:00,1,Ростов,9119,Надежда,Федорова,1,Молоко 3%,3,360
18,9d30b888a17e2b6c444eda747961f40f,2024-02-02T00:00:00,2,Ярославль,8113,Снежанна,Федорова,11,Хлеб ржаной,5,100
19,191b70f3734fa4ae0912e9d00b5592f9,2024-02-02T00:00:00,2,Ярославль,9703,Эдуард,Соколов,11,Хлеб ржаной,4,80
